blue.card1.id,blue.card1.level,blue.card2.id,blue.card2.level,blue.card3.id,blue.card3.level,blue.card4.id,blue.card4.level,blue.card5.id,blue.card5.level,blue.card6.id,blue.card6.level,blue.card7.id,blue.card7.level,blue.card8.id,blue.card8.level,blue.totalcard.level,blue.elixir.average,red.card1.id,red.card1.level,red.card2.id,red.card2.level,red.card3.id,red.card3.level,red.card4.id,red.card4.level,red.card5.id,red.card5.level,red.card6.id,red.card6.level,red.card7.id,red.card7.level,red.card8.id,red.card8.level,red.totalcard.level,red.elixir.average
26000001,13,26000038,12,27000006,13,26000030,12,26000010,12,28000011,12,28000000,12,27000008,14,100,2.9,28000004,14,26000041,14,26000026,14,27000003,14,26000040,14,26000016,14,26000053,14,28000011,13,111,3.6
26000015,11,28000015,11,26000054,11,26000063,11,26000009,11,26000035,11,26000039,11,28000012,11,88,4.3,26000027,11,26000060,11,26000018,11,26000005,11,26000014,11,28000002,11,26000033,11,28000008,11,88,3.9
26000015,11,28000015,11,26000054,11,26000063,11,26000009,11,26000035,11,26000039,11,28000012,11,88,4.3,28000002,11,28000008,11,28000006,14,28000011,14,28000013,14,28000016,14,28000017,14,26000010,14,103,1.8
