game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,players_right_now
스쿨라이프,2023-04-05,3,3,0,3,67.06,0
Little Crab Fisher,2023-04-01,5,3,0,3,67.06,0
Merging Cubes,2023-03-31,1,3,0,3,67.06,0
My Dear Dad 父亲,2023-04-07,6,3,0,3,67.06,0
Vampire Slayer: The Resurrection,2023-02-09,13,33,11,44,67.05,0
Garbage Truck Simulator,2023-02-09,24,33,11,44,67.05,0
Clive 'N' Wrench,2023-02-23,48,60,22,82,67.04,0
Sonic Colors: Ultimate,2023-02-06,90,181,74,255,67.03,7
Pitch Silent,2023-01-17,4,12,3,15,66.98,0
Tristia:restore,2023-01-20,8,12,3,15,66.98,0
Taste of War,2023-01-20,6,12,3,15,66.98,0
Hidden Post-Apocalyptic 2 Top-Down 3D,2023-02-21,2,12,3,15,66.98,0
龙栖,2023-03-24,9,20,6,26,66.94,0
Desktop Dungeons: Rewind - Daily Demo,2023-01-25,27,20,6,26,66.94,2
Trackmania,2023-02-02,2935,1576,718,2294,66.88,"1,328"
Star Survivor - Prologue,2023-02-17,173,83,32,115,66.87,0
Potion Tycoon,2023-03-13,243,113,45,158,66.84,10
Underworld Idle,2023-02-02,765,514,226,740,66.8,476
Mama Die and Retry,2023-01-29,2,9,2,11,66.76,1
Secret Diaries: Manage a Manor,2023-01-30,10,9,2,11,66.76,0
Royal Affairs,2023-03-30,100,9,2,11,66.76,9
Mothership Forever,2023-01-02,4,9,2,11,66.76,0
Nightly Trash,2023-02-26,3,9,2,11,66.76,0
Sakura Battle,2023-02-10,3,9,2,11,66.76,0
Hentai Sera,2023-03-03,6,9,2,11,66.76,0
3 Triplets 18 Tits,2023-04-06,3,9,2,11,66.76,0
Cursed Pantsu,2023-04-04,15,17,5,22,66.66,3
少女的求生之路2：血色洋馆,2023-04-03,7,17,5,22,66.66,0
Strange Aeons,2023-01-13,2,6,1,7,66.62,0
Mix-A-Max,2023-01-06,3,6,1,7,66.62,0
Colony Cephea,2023-03-16,2,6,1,7,66.62,0
Juan Sin Miedo,2023-01-09,2,6,1,7,66.62,0
Gemstones,2023-01-24,3,6,1,7,66.62,0
Metal War,2023-03-25,4,6,1,7,66.62,0
Chasmal,2023-01-31,5,6,1,7,66.62,0
Turtle Racer,2023-02-20,3,6,1,7,66.62,0
Towards the Unknown,2023-02-24,3,6,1,7,66.62,0
The Last Sword,2023-03-10,2,6,1,7,66.62,0
Hentai Beach,2023-01-22,4,6,1,7,66.62,0
Hentai Beach,2023-01-22,4,6,1,7,66.62,1
Hentai Beach,2020-11-13,40,552,52,604,85.37,0
Hentai Beach,2020-11-13,40,552,52,604,85.37,1
That Last Girl,2023-02-12,2,6,1,7,66.62,0
50 Days To Survive,2023-03-03,3,6,1,7,66.62,0
Lost Dream: Darkness,2023-03-17,1,6,1,7,66.62,0
Hentai Pussy 6,2023-02-24,2,6,1,7,66.62,0
Captain Meow,2023-03-02,2,6,1,7,66.62,0
H Girl,2023-03-07,4,6,1,7,66.62,0
Violations Will Be Punished,2023-03-24,5,6,1,7,66.62,0
Under the Sky World,2023-01-05,21,27,9,36,66.57,0
HellFurnace,2023-02-15,20,46,17,63,66.43,0
Blanc,2023-02-14,339,221,95,316,66.41,5
Elder Trial：Prologue,2023-01-25,20,34,12,46,66.41,0
Ex Natura: Nature Corrupted,2023-02-20,6,29,10,39,66.33,0
Adventure's Calling,2023-02-14,6,14,4,18,66.33,0
Pricia Defense,2023-03-25,14,14,4,18,66.33,1
Building our Futature,2023-01-09,23,14,4,18,66.33,1
Mushroom Agent,2023-01-06,2,14,4,18,66.33,0
INVASION,2023-02-10,7,14,4,18,66.33,0
INVASION,2023-02-10,7,14,4,18,66.33,0
INVASION,2020-04-16,2,3,5,8,43.95,0
INVASION,2020-04-16,2,3,5,8,43.95,0
My Dream Girl,2023-01-31,6,24,8,32,66.27,0
HYPERVIOLENT,2023-04-06,26,19,6,25,66.25,3
Hammer Kid,2023-03-13,10,19,6,25,66.25,0
Horror Tale,2023-01-06,10,19,6,25,66.25,0
When All Guys Turned into Girls,2023-01-10,7,19,6,25,66.25,0
Lawnmower Game: Ufo Chase,2023-01-15,3,19,6,25,66.25,0
Multiplayer Werewolves,2023-02-07,7,19,6,25,66.25,0
Phylakterion,2023-02-20,45,36,13,49,66.24,1
Call of Duty®: Modern Warfare®,2023-03-08,1523,779,361,1140,66.13,280
Nadir,2023-02-07,144,137,58,195,66.12,1
Interference: Dead Air,2023-02-02,36,38,14,52,66.09,2
Fight the Landlord,2023-03-31,277,264,117,381,66.07,1
Destinesia,2023-02-16,5,11,3,14,65.93,0
Eternal Fidelity,2023-01-27,3,11,3,14,65.93,0
Jamie's Toy Box,2023-04-10,5,16,5,21,65.86,0
CODE: PANDORA,2023-03-30,30,16,5,21,65.86,2
Heart attack,2023-01-17,7,78,32,110,65.84,0
Gatewalkers,2023-01-12,564,216,96,312,65.82,14
Lone Ruin,2023-01-12,172,97,41,138,65.7,1
Stewart The Fox,2023-01-20,63,99,42,141,65.67,1
Duelyst GG,2023-01-28,16,23,8,31,65.67,1
神国：创造,2023-01-16,83,144,63,207,65.64,0
Grand Theft Auto: San Andreas - The Definitive Edition,2023-01-19,1699,1034,497,1531,65.61,178
Sharded World,2023-01-16,9,18,6,24,65.51,0
Crime Passional,2023-02-14,6,18,6,24,65.51,0
Super Hero Flash Fist,2023-02-14,74,41,16,57,65.47,1
We Are The Caretakers,2023-01-06,16,25,9,34,65.46,0
ILLUMINATI,2023-01-06,15,25,9,34,65.46,0
Dark Skies: The Nemansk Incident,2023-02-24,7,52,21,73,65.42,0
Dawngrown,2023-02-14,4,8,2,10,65.42,0
Raiden IV x MIKADO remix,2023-01-31,9,8,2,10,65.42,0
Revival Quest,2023-03-24,8,8,2,10,65.42,0
Mountain Alpaca,2023-02-19,4,8,2,10,65.42,0
Mythology Waifus Mahjong,2023-03-10,7,8,2,10,65.42,0
Captain The Looper,2023-03-31,5,8,2,10,65.42,0
Hentai Ariel,2023-03-30,4,8,2,10,65.42,0
Ensora,2023-01-17,8,13,4,17,65.38,0
Eastern Europe Bus Sim,2023-01-27,2,13,4,17,65.38,0
Hexagon Puzzle Blocks,2023-01-24,4,13,4,17,65.38,0
Stars End,2023-01-08,244,839,407,1246,65.31,15
初夏倾语 - Summer Whisper,2023-01-13,18,20,7,27,65.25,0
Paranormal Cleanup,2023-02-15,124,90,39,129,65.2,8
Lawbringer,2023-02-03,5,15,5,20,65.0,0
Super Club Soccer,2023-04-01,46,74,32,106,64.96,1
Volzerk : Monsters and Lands Unknown,2023-01-25,1437,383,185,568,64.85,79
Tofas Sahin: Online Car Driving,2023-02-15,41,125,57,182,64.79,2
It Lurks!,2023-01-18,2,5,1,6,64.78,0
Rue,2023-02-13,3,5,1,6,64.78,0
三千世界,2023-03-02,5,5,1,6,64.78,0
Xheres,2023-03-10,2,5,1,6,64.78,0
Nix: Ashes of the Phoenix,2023-03-24,3,5,1,6,64.78,0
Clockwork Survivors,2023-01-31,5,5,1,6,64.78,0
Radiant Cell,2023-01-10,2,5,1,6,64.78,0
Umbral Omen,2023-02-13,4,5,1,6,64.78,0
HAXWARE COMGAM,2023-01-31,6,5,1,6,64.78,0
Pushing POPO,2023-01-10,2,5,1,6,64.78,0
The Beastmaster Princess,2023-03-01,7,5,1,6,64.78,1
Demon's Wrath,2023-03-25,4,5,1,6,64.78,0
Paper Needs Inspiration!,2023-02-28,5,5,1,6,64.78,2
Full Moon Kit,2023-02-07,3,5,1,6,64.78,0
Fateel,2023-01-20,3,5,1,6,64.78,0
Terrarium Builder,2023-02-17,3,5,1,6,64.78,0
Cubis,2023-02-01,5,5,1,6,64.78,0
勇者起源,2023-01-16,2,5,1,6,64.78,0
Strip 4: Detention Bounce,2023-02-16,4,5,1,6,64.78,0
Metal Glove: Exodus,2023-02-17,2,5,1,6,64.78,0
Trapers Platformer,2023-01-12,3,5,1,6,64.78,0
Guacomole,2023-02-03,4,5,1,6,64.78,0
Myristica,2023-01-31,2,5,1,6,64.78,0
You Can Do!mino,2023-02-07,2,5,1,6,64.78,0
Battle of 2048 - Fantasy Edition,2023-02-01,2,5,1,6,64.78,0
Pyramis,2023-03-30,5,5,1,6,64.78,0
Donut Adventure,2023-03-20,2,5,1,6,64.78,0
Final Dose,2023-03-28,3,5,1,6,64.78,0
Hentai Cheerleader,2023-03-02,3,5,1,6,64.78,0
三国之旅,2023-04-07,24,5,1,6,64.78,4
NOT the Hero,2023-03-24,3,5,1,6,64.78,0
DragonStrike,2023-03-27,6,5,1,6,64.78,0
Darksy's Adventure,2023-03-31,6,5,1,6,64.78,0
Infinite Guitars,2023-03-30,18,10,3,13,64.76,0
Ghostly Moans,2023-03-06,8,10,3,13,64.76,0
Cloak & Dagger: Shadow Operations,2023-03-30,3,10,3,13,64.76,0
Goi,2023-03-14,49,10,3,13,64.76,0
Chess: The Lost Pieces,2023-01-31,8,10,3,13,64.76,1
Vosphia,2023-01-09,6,10,3,13,64.76,0
SlasherRPG,2023-01-07,6,10,3,13,64.76,0
フックと鎧獣,2023-04-07,14,10,3,13,64.76,0
JOIN tiles,2023-02-13,2,10,3,13,64.76,0
Furry Futa 💘,2023-03-31,4,10,3,13,64.76,0
Avoid It!,2023-03-24,5,10,3,13,64.76,0
Dirty Room,2023-03-24,15,10,3,13,64.76,2
Spooky Shelter,2023-03-20,3,10,3,13,64.76,0
7 Sins : Lost in Labyrinth,2023-02-10,15,26,10,36,64.73,0
黑棉花：悟能,2023-01-31,8,26,10,36,64.73,0
Deep Space Gardening,2023-02-13,12,17,6,23,64.73,0
Rally Car,2023-04-09,5,17,6,23,64.73,2
Prison Wars,2023-01-06,5,17,6,23,64.73,1
Prison Wars,2023-01-06,5,17,6,23,64.73,1
Prison Wars,2022-03-30,24,13,7,20,59.0,1
Prison Wars,2022-03-30,24,13,7,20,59.0,1
The Backrooms Experiment,2023-03-15,16,17,6,23,64.73,0
The Alchemist of Ars Magna,2023-03-31,45,17,6,23,64.73,7
Terminal Velocity™: Boosted Edition,2023-03-14,11,19,7,26,64.52,3
Yondu's Journey,2023-03-13,8,19,7,26,64.52,1
Click & Cum 💘💦,2023-03-01,123,72,32,104,64.49,2
Planet TD,2023-01-06,50,94,43,137,64.39,5
Glory of war,2023-03-17,85,98,45,143,64.38,9
Move Nature,2023-02-03,4,21,8,29,64.36,0
Hidden Mars,2023-02-10,4,12,4,16,64.35,0
Backroom Warfare II,2023-01-27,7,12,4,16,64.35,0
Interkosmos 2000,2023-02-16,5,12,4,16,64.35,0
JETT: The Far Shore + Given Time,2023-01-31,22,23,9,32,64.24,1
Tower Survivors,2023-02-28,11,23,9,32,64.24,1
Elle,2023-03-31,4,2,0,2,64.08,0
Unknown Ways,2023-03-27,0,2,0,2,64.08,
Techlie,2023-01-18,1,2,0,2,64.08,0
Skyratz,2023-01-02,7,2,0,2,64.08,0
Crosswalks,2023-03-31,2,2,0,2,64.08,0
Backbeat,2023-03-15,2,2,0,2,64.08,0
Warp Tango,2023-03-31,3,2,0,2,64.08,0
The Hero Journey in Yggdrasil,2023-03-18,3,2,0,2,64.08,0
Solomon Snow - First Contact,2023-04-01,3,2,0,2,64.08,0
Anyaroth: The Queen's Tyranny,2023-03-30,3,2,0,2,64.08,0
AsteRoid Rage,2023-03-31,1,2,0,2,64.08,0
Creature Hunter,2023-03-23,2,2,0,2,64.08,0
An Indie Game a Month: Unreal Journey,2023-03-07,4,2,0,2,64.08,0
Vacuum,2023-03-17,2,2,0,2,64.08,0
COVID_KILLER,2023-02-28,3,2,0,2,64.08,0
Anti-Bully Adventure,2023-02-28,1,2,0,2,64.08,0
A Weekend in Puzzleburg,2023-02-17,2,2,0,2,64.08,1
Natural Spirit,2023-01-30,2,2,0,2,64.08,0
Ski3,2023-02-14,2,2,0,2,64.08,0
Shenanigans,2023-02-24,5,2,0,2,64.08,0
Galactic Escape,2023-02-03,1,2,0,2,64.08,0
Hitstun,2023-03-22,4,2,0,2,64.08,0
The Killer,2023-02-03,1,2,0,2,64.08,0
Mega Demon Blaster,2023-04-04,2,2,0,2,64.08,0
YOW,2023-01-25,2,2,0,2,64.08,0
ball-e,2023-03-01,1,2,0,2,64.08,0
Wizard War VR,2023-02-26,2,2,0,2,64.08,0
Destroiders,2023-02-03,1,2,0,2,64.08,0
Ashcrown,2023-04-07,5,2,0,2,64.08,0
Heartbite: Dating by Daylight,2023-03-24,2,2,0,2,64.08,0
Binary.,2023-03-30,3,2,0,2,64.08,0
Walk with the Living 2,2023-01-13,2,2,0,2,64.08,0
Fleeting,2023-01-05,1,2,0,2,64.08,0
Adventures of Skye the Slime Maid,2023-04-07,2,2,0,2,64.08,0
Hilm,2023-04-30,3,2,0,2,64.08,0
Fisher's Qualm,2023-03-20,2,2,0,2,64.08,0
Ninja Scroller,2023-03-31,1,2,0,2,64.08,0
Voice of the Wizard by Brett Farkas,2023-01-05,1,2,0,2,64.08,0
Rebels - Under the Spell of Magic (Chapter 3),2023-02-26,2,2,0,2,64.08,0
Striker of Sky,2023-02-28,2,2,0,2,64.08,0
Around Us,2023-03-15,1,2,0,2,64.08,0
Flife,2023-01-01,6,2,0,2,64.08,0
DIMENSIONLESS,2023-03-15,1,2,0,2,64.08,0
Traveler,2023-01-15,3,2,0,2,64.08,0
Traveler,2023-01-15,3,2,0,2,64.08,0
Traveler,2021-12-11,4,7,0,7,73.26,0
Traveler,2021-12-11,4,7,0,7,73.26,0
The Widow's Boutique,2023-03-08,3,2,0,2,64.08,1
Keks Slot Machines,2023-03-12,2,2,0,2,64.08,1
The Dragon's Prophecy,2023-01-11,5,2,0,2,64.08,0
Nusantara,2023-03-31,1,2,0,2,64.08,0
Neko Dating Sim,2023-02-18,2,2,0,2,64.08,0
Wipe Factor,2023-02-08,10,2,0,2,64.08,0
Desktop Table Tennis,2023-04-03,2,2,0,2,64.08,0
EXTERMINATOR,2023-02-28,1,2,0,2,64.08,0
House of Jigsaw: Masters of Art,2023-03-23,2,2,0,2,64.08,0
Neopunk,2023-02-28,2,2,0,2,64.08,0
Cloud House,2023-03-31,2,2,0,2,64.08,0
Moorhuhn Pirates - Crazy Chicken Pirates,2023-03-02,3,2,0,2,64.08,0
7DAYS HEROES,2023-03-31,3,2,0,2,64.08,0
BulletLiveVR,2023-03-31,2,2,0,2,64.08,0
Crown of Thorns,2023-01-01,2,2,0,2,64.08,0
Olho,2023-02-04,1,2,0,2,64.08,0
Against All Odds,2023-02-23,4,2,0,2,64.08,1
Against All Odds,2023-02-23,4,2,0,2,64.08,0
Against All Odds,2022-12-04,2,3,0,3,67.06,1
Against All Odds,2022-12-04,2,3,0,3,67.06,0
Escape of Pig,2023-01-11,2,2,0,2,64.08,0
Just One,2023-01-23,1,2,0,2,64.08,0
Neon Blast,2023-02-16,2,2,0,2,64.08,0
Neon Blast,2023-02-16,2,2,0,2,64.08,0
Neon Blast,2019-04-15,3,2,0,2,64.08,0
Neon Blast,2019-04-15,3,2,0,2,64.08,0
Finding America: The Pacific Northwest,2023-01-30,3,2,0,2,64.08,0
Nature Escapes 2,2023-02-06,4,2,0,2,64.08,0
No13Shelter,2023-01-26,2,2,0,2,64.08,0
Tales Of Polygonia,2023-01-21,3,2,0,2,64.08,0
Water 2050,2023-03-16,2,2,0,2,64.08,0
Air Attack VR,2023-01-18,2,2,0,2,64.08,0
A Familiar World,2023-01-08,4,2,0,2,64.08,0
Farm in another world,2023-04-05,3,2,0,2,64.08,2
Lendas do Pebol: Mythic Football,2023-01-12,3,2,0,2,64.08,0
シンセティック・デイズ,2023-02-06,2,2,0,2,64.08,0
11 Years Ago,2023-02-24,4,2,0,2,64.08,0
Space landing,2023-01-14,1,2,0,2,64.08,0
Champ at Dawn,2023-01-23,2,2,0,2,64.08,0
Stella's Pointless Castle Awakening,2023-01-24,1,2,0,2,64.08,0
Glyph Guesser,2023-01-11,1,2,0,2,64.08,0
Seeking Asylum: The Game,2023-01-08,2,2,0,2,64.08,0
BOSSES,2023-01-02,2,2,0,2,64.08,0
The Great Artists,2023-01-09,1,2,0,2,64.08,0
Mutant Monty,2023-01-05,1,2,0,2,64.08,0
air star,2023-03-05,3,2,0,2,64.08,0
Grow Your Pets,2023-03-08,3,2,0,2,64.08,0
Grip on Reality,2023-02-19,1,2,0,2,64.08,0
Qdice,2023-01-21,2,2,0,2,64.08,0
The Sword That Kills Christmas,2023-01-09,3,2,0,2,64.08,0
Play football,2023-01-05,1,2,0,2,64.08,0
Gunslinger Nova,2023-01-17,2,2,0,2,64.08,0
Lichtreich: Willa,2023-01-10,2,2,0,2,64.08,0
SlimeCatcher,2023-02-08,1,2,0,2,64.08,0
Baalzebub,2023-03-31,1,2,0,2,64.08,0
BallZ,2023-01-17,2,2,0,2,64.08,0
Dummy Pirates: Ocean Tales,2023-04-01,3,2,0,2,64.08,0
Monsters Mess,2023-01-20,2,2,0,2,64.08,0
Waiter,2023-01-23,1,2,0,2,64.08,0
Light the Backrooms,2023-01-19,6,2,0,2,64.08,0
Vradark's Revenge,2023-01-26,1,2,0,2,64.08,0
Tedram,2023-01-27,2,2,0,2,64.08,0
Puzzle Pieces 4: Farewell Dear Winter,2023-02-23,1,2,0,2,64.08,0
CryptoZoo,2023-02-11,1,2,0,2,64.08,0
a land Goo's crazy,2023-03-25,2,2,0,2,64.08,1
DoDodge,2023-01-27,2,2,0,2,64.08,0
Archery Club,2023-03-20,3,2,0,2,64.08,0
Marshrutka,2023-02-09,1,2,0,2,64.08,0
視靈,2023-02-01,3,2,0,2,64.08,0
愛する妻が目の前で他人棒に貫かれ、よがり喘いでいく ～ゴメンなさいあなた。でも、私気持ちいいの…～,2023-04-06,1,2,0,2,64.08,0
他の男の精液で孕むとき ～襖の向こうで弟に精液を注ぎ込まれている妻～,2023-04-06,1,2,0,2,64.08,0
Disgusting Puzzle 2,2023-02-01,1,2,0,2,64.08,0
Omega Survivors,2023-02-03,2,2,0,2,64.08,0
Toast,2023-03-26,2,2,0,2,64.08,0
Targets,2023-02-12,2,2,0,2,64.08,0
Hill Climb,2023-02-06,2,2,0,2,64.08,0
Wonder Trips,2023-03-24,1,2,0,2,64.08,0
Jigsaw Puzzle Lovers,2023-02-08,2,2,0,2,64.08,0
Search,2023-03-31,2,2,0,2,64.08,0
Search,2023-03-31,2,2,0,2,64.08,0
Search,2022-08-28,2,9,7,16,53.59,0
Search,2022-08-28,2,9,7,16,53.59,0
Furry Armpits,2023-02-11,2,2,0,2,64.08,1
Police Car Armored: Cop Simulator,2023-02-14,2,2,0,2,64.08,0
Robot Room Cleaner,2023-02-10,3,2,0,2,64.08,0
OrbRider,2023-03-30,1,2,0,2,64.08,0
星空骑士,2023-03-14,1,2,0,2,64.08,0
Wars of Cards: ROMA,2023-03-24,6,2,0,2,64.08,0
BookyPets Legends,2023-03-30,1,2,0,2,64.08,0
恩索姆战士,2023-02-20,2,2,0,2,64.08,0
Wheelie King 5,2023-03-02,1,2,0,2,64.08,1
平凡的我與幽靈的同居生活,2023-02-27,3,2,0,2,64.08,0
When Sword Sinks Into Flowers,2023-02-20,2,2,0,2,64.08,0
SharkKing,2023-03-07,1,2,0,2,64.08,0
Pi Fu Fighter,2023-03-09,2,2,0,2,64.08,0
Evil Of Demons: Algailah,2023-04-06,2,2,0,2,64.08,0
災難探偵サイガ～名状しがたい怪事件～,2023-03-13,2,2,0,2,64.08,0
Mademoiselle Kshatriya,2023-03-01,1,2,0,2,64.08,0
Pandora,2023-03-10,4,2,0,2,64.08,0
Mahjong - Legacy of the Toltecs,2023-02-28,3,2,0,2,64.08,1
Vessel Blue,2023-04-11,5,2,0,2,64.08,0
Cyber Girl 1.1: REBOOT,2023-02-28,1,2,0,2,64.08,0
Hostile Dreams,2023-03-16,1,2,0,2,64.08,0
JetpacToo,2023-04-10,1,2,0,2,64.08,0
Endless Spaceship,2023-02-27,1,2,0,2,64.08,0
Poly Jigsaw: Cats,2023-02-21,4,2,0,2,64.08,0
Forbidden Dojo,2023-03-31,12,2,0,2,64.08,0
Cavimilation,2023-03-03,2,2,0,2,64.08,0
Hentai Casual Swap,2023-03-02,3,2,0,2,64.08,0
Odyssée numérique,2023-04-30,2,2,0,2,64.08,0
50 Rounds,2023-03-29,1,2,0,2,64.08,0
Escape the Unknown: Awaken the Realm,2023-04-04,3,2,0,2,64.08,0
Climber,2023-03-08,1,2,0,2,64.08,0
Hentai Senpai: Cyberpussy 2069,2023-03-24,4,2,0,2,64.08,0
Phantom Hunter,2023-03-31,3,2,0,2,64.08,1
Aqua Marbles - Ocean,2023-03-24,3,2,0,2,64.08,1
Mystery Case Files: The Dalimar Legacy Collector's Edition,2023-04-04,15,2,0,2,64.08,4
The Die Is Cast,2023-03-22,2,2,0,2,64.08,0
Battle Tanks: Arena,2023-03-17,1,2,0,2,64.08,0
Heart vs HP,2023-03-21,1,2,0,2,64.08,0
Wojak wants Hentai,2023-04-05,5,2,0,2,64.08,0
Car Delivery Man,2023-04-04,1,2,0,2,64.08,0
Train to Nowhere,2023-03-27,2,2,0,2,64.08,0
Shadow BoXR,2023-03-22,2,2,0,2,64.08,0
Fire Chat,2023-03-27,5,2,0,2,64.08,0
Ten Seconds Trillion,2023-03-21,5,2,0,2,64.08,0
Slingshot Battle,2023-03-23,2,2,0,2,64.08,0
Hollow Mission,2023-03-31,2,2,0,2,64.08,0
WITCH RACE Prologue,2023-03-24,5,2,0,2,64.08,0
Silver Box Classics,2023-03-27,8,2,0,2,64.08,0
Kings Love,2023-03-23,3,2,0,2,64.08,0
Scroter,2023-04-07,2,2,0,2,64.08,0
Amazing Trip to Europe,2023-03-21,3,2,0,2,64.08,1
Alien Planet Survival,2023-03-27,4,2,0,2,64.08,0
Ainmora: O Desastre Iminente,2023-03-29,4,2,0,2,64.08,0
Fateful Mages,2023-04-10,2,2,0,2,64.08,0
Boom Royale,2023-03-31,3,2,0,2,64.08,0
HEX PLAT,2023-03-31,1,2,0,2,64.08,0
Mars Colonization,2023-03-31,4,2,0,2,64.08,0
Tagger Mascot,2023-04-06,2,2,0,2,64.08,0
The Wingless Bee,2023-04-06,1,2,0,2,64.08,0
Cat Pipes,2023-04-10,2,2,0,2,64.08,0
Arcanika,2023-04-09,5,2,0,2,64.08,3
Anima Reprise,2023-06-30,1,2,0,2,64.08,0
PACTUM + EPISODE 1,2023-04-07,1,2,0,2,64.08,0
Somnus,2023-04-05,2,2,0,2,64.08,0
The madness of death,2023-01-25,8,14,5,19,64.07,0
Feudal Fantasy Incremental,2023-02-17,36,29,12,41,64.0,3
Redemption Reapers,2023-02-22,322,121,58,179,63.91,4
Bus Driving Sim 22,2023-02-02,36,152,74,226,63.89,3
Alien Egg: Ascent,2023-01-17,6,7,2,9,63.89,0
僵尸特攻队,2023-02-17,9,7,2,9,63.89,0
UnrealGundy,2023-03-31,3,7,2,9,63.89,0
Polaroid,2023-01-06,3,7,2,9,63.89,0
King's Hand,2023-01-20,6,7,2,9,63.89,0
Race in Desert,2023-01-06,3,7,2,9,63.89,0
Square garden,2023-01-31,3,7,2,9,63.89,0
House Sitter,2023-03-16,4,7,2,9,63.89,0
House Sitter,2023-03-16,4,7,2,9,63.89,0
House Sitter,2020-05-27,8,36,1,37,81.47,0
House Sitter,2020-05-27,8,36,1,37,81.47,0
Infinimine,2023-02-19,35,18,7,25,63.75,2
九州谕,2023-01-06,30,18,7,25,63.75,2
DOOMSDAY SURVIVORS,2023-03-10,13,18,7,25,63.75,0
Mysterious School,2023-02-17,822,154,76,230,63.66,1
EDEN: Create World,2023-03-01,6,20,8,28,63.65,0
Monster Battle,2023-03-15,8,20,8,28,63.65,0
Cooperative Chess,2023-02-16,16,22,9,31,63.58,2
Stay Out Of The Farm: Prologue,2023-02-23,5,22,9,31,63.58,0
Battle Team,2023-01-20,7,24,10,34,63.53,0
Resoraki,2023-03-23,26,24,10,34,63.53,2
Moving in with My Step-sister,2023-02-07,108,97,47,144,63.48,3
Omen of Sorrow,2023-03-23,11,9,3,12,63.45,1
Sushi Bar Express,2023-03-23,4,9,3,12,63.45,0
Powers of Hex,2023-04-06,3,9,3,12,63.45,0
Speed Dates,2023-03-31,3,9,3,12,63.45,0
Under the Sky World~Another~,2023-02-07,3,9,3,12,63.45,0
Echo Storm,2023-03-16,8,9,3,12,63.45,0
Into the Wonderland,2023-02-17,7,9,3,12,63.45,0
Lawnmower Game: Zombies,2023-03-06,3,9,3,12,63.45,0
Warehouse Simulator: Forklift Driver,2023-02-11,9,30,13,43,63.44,0
Negative Atmosphere: Emergency Room,2023-01-27,59,40,18,58,63.41,0
Nearly Dead - Live and Let Die,2023-02-24,62,38,17,55,63.41,0
Operation: Harsh Doorstop,2023-02-15,2074,3013,1657,4670,63.38,327
Pharaoh: A New Era,2023-02-15,6321,1655,901,2556,63.36,705
Handyman Corporation,2023-01-25,311,71,34,105,63.29,0
The Backrooms Game,2023-03-22,13,11,4,15,63.21,2
Idiotic The Game,2023-02-02,4,11,4,15,63.21,1
The Gravehouse,2023-01-06,4,11,4,15,63.21,1
School Flight Simulator,2023-02-13,4,11,4,15,63.21,0
Hank: Straightjacket,2023-02-01,4,11,4,15,63.21,0
SEX Room [18+],2023-02-04,329,101,50,151,63.17,0
Project: WATERFALL,2023-02-28,5,13,5,18,63.06,1
Stellar Sovereigns,2023-03-08,11,13,5,18,63.06,3
Futanari girls 3D ⚧👧🍆,2023-01-26,6,13,5,18,63.06,0
Errant Kingdom,2023-02-28,84,85,42,127,63.0,3
Dimensions: Dreadnought Architect,2023-02-02,149,81,40,121,62.95,1
Terfenstein 3D,2023-01-13,5,33,15,48,62.94,0
For Your Tranquility,2023-01-16,119,79,39,118,62.93,0
Dragon's Treasure,2023-03-25,4,17,7,24,62.93,0
Scary Turnaround,2023-01-28,3,17,7,24,62.93,0
The Guard,2023-02-28,4,17,7,24,62.93,0
绝影-Vanishing Shadow,2023-04-11,12,19,8,27,62.9,0
觅仙,2023-03-10,3290,328,175,503,62.87,5
Dominance,2023-01-12,484,197,103,300,62.86,4
Universe in Cum 💦 🌎,2023-03-25,76,129,66,195,62.86,4
I Am Your President,2023-02-27,370,99,50,149,62.8,12
大衍江湖,2023-02-11,324,445,243,688,62.63,2
苦主救助中心 Ⅲ,2023-03-11,560,427,234,661,62.53,2
Winter Survival: Prologue,2023-02-15,337,154,81,235,62.53,8
Getting Freaky With Fujiki,2023-04-07,6,4,1,5,62.51,0
A Sad Journey,2023-01-20,2,4,1,5,62.51,0
Running Robot Man 4,2023-02-07,4,4,1,5,62.51,0
Anica,2023-01-28,4,4,1,5,62.51,0
Frost League,2023-03-25,1,4,1,5,62.51,0
Alice in dreamland,2023-03-13,7,4,1,5,62.51,1
House of the Soul,2023-02-06,3,4,1,5,62.51,0
Pedigree Tactics,2023-01-06,3,4,1,5,62.51,0
Damoria,2023-02-24,14,4,1,5,62.51,0
KAKUDO,2023-03-30,3,4,1,5,62.51,0
Legacy,2023-02-03,4,4,1,5,62.51,0
BackRoomsNew,2023-01-03,3,4,1,5,62.51,1
Roadkill Raceway,2023-02-21,2,4,1,5,62.51,0
Dracula Defense!,2023-02-24,2,4,1,5,62.51,0
Don't Kill the Cat,2023-01-07,2,4,1,5,62.51,0
Cat Life,2023-01-06,3,4,1,5,62.51,0
Pepper Girl,2023-01-19,2,4,1,5,62.51,0
Horny Spell,2023-01-05,4,4,1,5,62.51,0
Yummy Girls 2,2023-01-31,1,4,1,5,62.51,0
流浪荒岛,2023-03-01,3,4,1,5,62.51,0
PunchMan Online,2023-03-24,6,4,1,5,62.51,0
Dragon Pinball,2023-03-03,2,4,1,5,62.51,1
Vlobs,2023-03-10,2,4,1,5,62.51,0
Christmas Night,2023-04-10,6,4,1,5,62.51,1
