game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,players_right_now
Clash: Artifacts of Chaos,2023-03-09,148,306,17,323,86.89,10
Glory & Miserable Survivors DX,2023-03-16,776,390,26,416,86.63,117
Soundodger 2,2023-04-10,53,109,2,111,86.55,11
Caves of Lore,2023-01-21,103,148,5,153,86.47,10
Lone Fungus,2023-04-07,214,194,9,203,86.38,175
Passpartout 2: The Lost Artist,2023-04-04,591,272,16,288,86.37,267
A Bavarian Tale - Totgeschwiegen,2023-02-02,57,144,5,149,86.32,7
Coralina,2023-01-06,16,192,9,201,86.31,0
King Of The Castle,2023-03-02,321,488,38,526,86.29,24
ZED ZONE,2023-03-30,2569,1332,135,1467,86.25,865
Omega Strikers,2023-04-27,19257,10006,1292,11298,86.24,10
BETON BRUTAL,2023-03-31,147,129,4,133,86.24,64
ENTROPOLY,2023-03-02,41,102,2,104,86.23,0
ふりかけ☆スペイシー,2023-03-01,48,71,0,71,86.2,3
Cannibal Abduction,2023-01-13,25,138,5,143,86.09,0
Graze Counter GM,2023-01-18,72,84,1,85,86.05,1
The Multi-Medium,2023-01-20,15,84,1,85,86.05,0
Basements n' Basilisks: Storms of Sorcery,2023-02-27,20,98,2,100,86.04,0
Partum Artifex,2023-02-26,17,83,1,84,86.0,0
Plan B: Terraform,2023-02-15,2352,1072,108,1180,85.99,168
Dreams in the Witch House,2023-02-16,42,123,4,127,85.98,3
Planet Cube: Edge,2023-02-23,14,97,2,99,85.98,0
The Pale Beyond,2023-02-24,738,731,68,799,85.94,27
Kujlevka,2023-04-06,73,82,1,83,85.94,16
vivid/stasis,2023-03-07,53,109,3,112,85.92,13
Aces and Adventures,2023-02-23,2455,879,87,966,85.82,103
Tower Tactics: Liberation,2023-02-06,808,751,72,823,85.79,77
一起击碎吧,2023-04-06,28,62,0,62,85.63,0
Time Wasters,2023-03-10,934,695,67,762,85.62,280
Kandria,2023-01-11,26,90,2,92,85.61,1
Juno: New Origins,2023-01-26,780,1953,229,2182,85.6,128
Hell Of An Office,2023-03-14,26,76,1,77,85.58,1
Confabulation,2023-01-13,13,61,0,61,85.57,0
Good Pizza Great Pizza,2023-01-06,145,1453,164,1617,85.55,80
Lords of Infinity,2023-03-02,270,114,4,118,85.55,8
Apex Point,2023-03-05,385,604,57,661,85.52,84
Looking Up I See Only A Ceiling,2023-03-09,12,147,7,154,85.5,1
Magic Tower & Maidens,2023-02-27,61,124,5,129,85.47,0
Robolife2-Nova Duty,2023-03-11,892,313,24,337,85.45,118
Revenant,2023-03-29,20,74,1,75,85.45,4
Crafty Survivors,2023-03-15,374,198,12,210,85.44,45
Emberfate: Tempest of Elements,2023-01-27,21,59,0,59,85.42,1
DIG - Deep In Galaxies,2023-03-08,40,73,1,74,85.39,5
與經紀人戀愛是絕對禁止2,2023-03-12,518,264,19,283,85.38,81
It Comes In Waves,2023-04-05,19,86,2,88,85.37,1
Weird and Unfortunate Things Are Happening,2023-02-06,29,58,0,58,85.35,2
EVERSPACE™ 2,2023-04-06,9760,5400,732,6132,85.31,"7,670"
SHUFFLE! Episode 2 ~Kami ni mo Akuma ni mo Nerawareteiru Otoko~,2023-03-10,89,120,5,125,85.27,13
Handyman Legend,2023-03-10,1002,484,45,529,85.21,117
觅光：第一章 - Seeking Light : Chapter 1,2023-03-25,28,56,0,56,85.2,5
Postmouse,2023-01-30,123,482,45,527,85.18,16
Horny Warp,2023-02-17,218,210,14,224,85.18,10
Corsair`s Madness Prologue: Jungle`s Island,2023-02-03,46,69,1,70,85.11,0
Backfirewall_,2023-01-30,86,178,11,189,85.08,2
Troublemaker,2023-03-31,374,458,43,501,85.05,43
Zup! Q,2023-03-08,33,68,1,69,85.04,0
Witch's Garden,2023-04-07,117,68,1,69,85.04,79
Drawing From Memory,2023-02-08,134,147,8,155,85.03,0
FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,2023-03-09,1372,734,79,813,84.93,90
Temple Of Snek,2023-02-15,21,134,7,141,84.9,0
我在终点线等你,2023-03-24,22,66,1,67,84.89,0
上古传说,2023-04-02,126,219,16,235,84.85,55
9 Childs Street,2023-02-16,30,235,18,253,84.79,9
KOP KILLER 22XX,2023-03-07,6,51,0,51,84.78,0
Souls of White Star,2023-03-30,86,88,3,91,84.73,20
Organs Please,2023-04-05,62,150,9,159,84.72,10
Selene ~Apoptosis~,2023-02-17,704,1527,192,1719,84.71,63
Ash of Gods: The Way Prologue,2023-03-09,747,250,20,270,84.71,5
Zero-G Gunfight,2023-02-17,6,50,0,50,84.69,1
In Sink: A Co-Op Escape Prologue,2023-02-25,1323,1167,142,1309,84.64,219
Tower Escape,2023-02-15,283,213,16,229,84.64,37
ITRP _ Aero Star,2023-03-09,91,75,2,77,84.63,0
Aery - Calm Mind 3,2023-03-31,5,49,0,49,84.6,0
Fateweaver: The Alchemist's Quandary,2023-02-27,8,49,0,49,84.6,0
Tanky Tanks 2,2023-03-20,6,49,0,49,84.6,0
Girl & Gem Magic,2023-03-31,85,211,16,227,84.57,1
Battle Ram,2023-01-06,4403,887,104,991,84.56,7
Relic Dudes,2023-02-03,86,173,12,185,84.49,3
Let's Pet Pets,2023-01-17,12,61,1,62,84.49,0
Final Profit: A Shop RPG,2023-03-06,34,73,2,75,84.48,11
The Farmer Was Replaced,2023-02-10,23,47,0,47,84.41,8
ARK and ADE,2023-03-02,13,72,2,74,84.4,0
Aery VR - A Journey Beyond Time,2023-03-24,4,60,1,61,84.4,0
Gone Rogue,2023-03-01,59,83,3,86,84.39,13
Nebula,2023-01-25,67,82,3,85,84.31,2
Nebula,2023-01-25,67,82,3,85,84.31,0
Nebula,2016-06-02,3,4,0,4,69.2,2
Nebula,2016-06-02,3,4,0,4,69.2,0
The Space-Eating Croc,2023-03-04,12,59,1,60,84.31,0
Super Cakeboy,2023-03-16,23,46,0,46,84.31,2
东方雪莲华 ～ Abyss Soul Lotus.,2023-02-02,290,309,29,338,84.25,6
Crush the Industry,2023-03-31,112,70,2,72,84.24,18
Robo Maestro,2023-01-20,12,58,1,59,84.22,1
Powerful Courses,2023-03-06,7,45,0,45,84.21,0
Cataclysm: Dark Days Ahead,2023-03-31,114,120,7,127,84.16,104
WooLoop,2023-01-13,404,829,101,930,84.14,56
8-Bit Adventures 2,2023-01-31,64,100,5,105,84.13,1
POOSTALL Royale,2023-04-01,164,572,65,637,84.1,1
Deceive Inc.,2023-03-21,2310,1419,190,1609,84.06,"1,351"
Waves of Steel,2023-02-06,112,278,26,304,84.04,4
Methods: The Canada Files,2023-02-01,19,56,1,57,84.03,0
Brave Soldier - Invasion of Cyborgs,2023-02-03,6,43,0,43,84.0,0
Breakers Collection,2023-01-12,78,67,2,69,83.99,0
Loretta,2023-02-16,48,135,9,144,83.97,8
Evacuation,2023-01-06,119,584,68,652,83.95,9
Unbreakable Vr Runner,2023-03-06,5,55,1,56,83.94,0
Terraformers,2023-03-09,1853,1435,195,1630,83.93,420
Vengeful Guardian: Moonrider,2023-01-12,103,226,20,246,83.9,1
江城创业记,2023-03-31,1126,334,34,368,83.88,578
LOUD,2023-02-23,13,42,0,42,83.88,5
Girl Fantasy,2023-02-10,170,385,41,426,83.86,1
Atomic Heart,2023-02-20,38469,17536,2941,20477,83.84,"2,006"
Pocky & Rocky Reshrined,2023-02-24,34,65,2,67,83.81,0
Elle: Portal,2023-02-17,46,114,7,121,83.8,3
STRANGER OF PARADISE FINAL FANTASY ORIGIN,2023-04-06,2544,454,51,505,83.78,"2,259"
Garden in!,2023-01-26,63,131,9,140,83.75,10
Fears to Fathom - Episode 3,2023-01-09,383,627,76,703,83.74,18
Tails: The Backbone Preludes,2023-02-02,55,113,7,120,83.74,3
Breakout 13,2023-01-09,11996,4041,625,4666,83.73,149
PARANOIA PLACE,2023-02-13,68,205,18,223,83.71,17
Half-Life 2: VR Mod - Episode Two,2023-04-06,113,94,5,99,83.71,45
Barbaria,2023-02-09,13,84,4,88,83.69,0
